4.4,14.25,2
3.45,13.4,2
3.8,12.7,2
3.3,11,2
3.1,12.45,2
4.15,11.95,2
4.85,10.75,2
5.3,12.95,2
4.9,14.05,2
6.3,13.65,2
6.45,13.2,2
4,9.4,2
5.8,7.7,2
4.6,6.65,2
5.4,9.35,2
4.5,7.9,2
5.65,6.2,2
4.75,5.35,2
6.25,4.75,2
7.4,6.65,2
6.8,8.2,2
7.6,7.9,2
8.8,8.2,2
9.4,8.3,2
9.8,7.7,2
8.35,7.25,2
9.85,7.1,2
11.4,6.75,2
11.1,6.2,2
12.2,4.15,2
10.65,7.4,2
11.95,6.4,2
9.5,6.15,2
10.55,5,2
4.5,4.4,2
4.9,4.25,2
7.3,8.7,2
8.65,9.15,2
9.35,9.35,2
10.35,9.4,2
11.75,8.25,2
12.35,6.9,2
12.95,5.8,2
11.35,5,2
12.8,5.05,2
12.2,3.7,2
13.45,3.9,2
13.45,5,2
6.8,5.75,2
7.9,6.45,2
8.85,7.2,2
6.6,6.95,2
4.1,10,2
7.4,4.45,1
7.85,5.7,1
9.6,5.1,1
10.25,3.5,1
11.1,3.3,1
12.05,2.4,1
9.35,4.5,1
8.55,4.05,1
9.15,2,1
10.65,1.75,1
7.9,3.55,1
7.6,2.65,1
9.55,2.85,1
11.2,2.35,1
9.95,1.5,1
12.35,1,1
14.15,1.5,1
14.6,2.9,1
13.7,2.95,1
13.2,2.3,1
15,3.95,1
15.85,4.5,1
16.15,5.5,1
14.7,7.35,1
14.6,5.9,1
15.45,2.75,1
15.85,5.7,1
15.45,6.4,1
14.85,4.5,1
13.5,7.15,1
12.65,9.45,1
13.5,9.2,1
15.1,8.55,1
16,6.9,1
16.9,6.7,1
13.05,8.45,1
14,8.35,1
15.7,7.2,1
15.6,6.05,1
16.2,8.15,1
13.4,10.1,1
12.35,10.75,1
9.85,11.55,1
9.8,10.4,1
12.1,9.85,1
10.7,10.75,1
11.4,10.75,1
13.95,10.2,1
8.85,11.15,1
7.7,10.4,1
9.15,10.1,1
7.35,9.65,1
8.75,9.85,1
6.75,10.15,1
6.15,10.45,1
5.7,11.35,1
5.7,12.45,1
6.5,12.45,1
7.5,12.45,1
6.9,11.85,1
7.25,11,1
8.35,10.95,1
8.8,11.4,1
8.65,11.7,1
7.6,13.4,1
7.7,14.35,1
7.75,14.95,1
8.95,13.95,1
8.95,13.55,1
10.4,12.8,1
12.15,11.7,1
12.75,12.45,1
11.75,13.65,1
11.65,12.55,1
10.25,13.55,1
9.9,14.5,1
9.75,12.4,1
13.7,11.35,1
17.35,9.4,1
15.8,10.85,1
11.85,10.6,1
10.25,8.75,2
11.5,9.85,2
11.15,8.95,2
11.7,9.05,2
12.3,8.4,2
12.35,7.7,2
11.15,7.6,2
13.55,6.5,2
5.35,15.05,2
5.45,14.35,2
5.55,13.3,2
6.4,15.45,1
6.55,14.6,1
7.3,15.3,1
14.15,12.25,1
15.55,10.05,1
14.75,9.75,1
14.9,11.7,1
16.35,9.75,1
8.15,15.95,1
10.1,15.7,1
11.6,14.55,1
2.65,9.65,2
3.1,8.1,2
3.35,7,2
3.3,4.1,2
4.95,3.2,2
5.3,1.95,2
6.7,3.85,2
6.1,3.2,2
6.65,1.8,2
7.3,1,2
5.7,9.55,2
6.75,9,2
5.5,8.65,2
4.2,11.3,2
5,11.9,2
4.45,14,2
2.25,10.45,1
2.1,6.45,1
2.55,2.25,1
4.5,0.9,1
3.7,5.8,1
5.2,7.9,1
8.85,15.25,2
11,11.95,2
14.9,10.7,2
16.9,5.35,2
0.2,12.35,1
2.2,12.25,2
1.05,10.15,2
2,8.5,2
1.2,4.95,2
1.2,1.5,2
3.85,2.65,2
10.8,4.15,2
11.4,3.75,2
12.55,3.15,2
13.05,4.65,2
15.15,5.35,2
14.3,7,2
13.1,7.9,2
10.2,10.75,2
7.9,9.45,2
9.75,9.75,2
6.5,11.55,2
11.45,16.2,1
15.4,17.2,1
16.9,13.25,1
2.7,5.3,2
2.45,3.4,2
0.7,6.75,2
2.3,7.15,2
1,8.45,2
1.7,9.2,2
1.25,11.15,2
-0.05,9.4,2
3.35,8.7,2
2.9,10.45,2
4.85,4.85,2
4.25,3.2,2
6.05,2.35,2
0.75,3.8,2
0.4,1.9,2
2.35,3.15,2
1.4,4.8,2
1.95,6.5,2
